iter	RMSE
0	4711.810501
1	4624.429442
2	4541.328113
3	4461.430481
4	4382.912956
5	4307.714692
6	4235.050201
7	4167.653807
8	4102.219103
9	4039.052132
10	3975.520076
11	3914.058545
12	3854.88923
13	3799.097943
14	3743.136926
15	3691.558216
16	3639.809226
17	3589.953391
18	3542.554196
19	3498.607212
20	3457.72466
21	3413.35689
22	3373.540114
23	3335.608124
24	3298.74775
25	3261.058784
26	3224.98804
27	3189.946206
28	3158.30036
29	3125.93474
30	3096.226243
31	3068.262924
32	3040.119152
33	3013.10492
34	2986.133281
35	2962.127814
36	2937.768219
37	2914.367407
38	2893.277597
39	2870.68513
40	2850.189035
41	2828.968234
42	2810.09964
43	2790.373708
44	2772.46844
45	2754.313159
46	2737.302303
47	2720.91731
48	2705.112116
49	2689.955069
50	2675.813788
51	2662.348439
52	2648.169306
53	2634.465371
54	2621.436467
55	2609.307225
56	2598.06199
57	2586.193563
58	2574.906431
59	2563.484046
60	2552.269454
61	2542.584755
62	2531.93914
63	2522.421694
64	2513.458112
65	2504.888086
66	2496.061049
67	2487.232177
68	2476.705216
69	2468.201715
70	2460.786002
71	2453.649157
72	2446.582107
73	2439.012293
74	2431.632911
75	2424.582536
76	2415.929961
77	2409.47793
78	2403.150558
79	2396.919129
80	2391.028157
81	2385.266592
82	2378.935281
83	2373.104684
84	2367.236398
85	2361.424906
86	2355.228478
87	2350.150254
88	2344.660975
89	2339.657891
90	2334.299316
91	2329.15455
92	2324.270601
93	2319.446955
94	2313.341635
95	2308.757752
96	2304.422595
97	2300.067639
98	2295.93279
99	2291.871764
100	2287.884171
101	2282.346132
102	2277.952561
103	2272.953877
104	2269.205928
105	2265.420924
106	2262.018869
107	2258.407006
108	2253.809433
109	2250.515755
110	2247.303068
111	2243.755732
112	2240.670664
113	2237.971666
114	2234.730139
115	2231.917376
116	2228.884775
117	2226.328969
118	2223.476006
119	2220.812022
120	2217.836076
121	2215.380639
122	2212.432578
123	2209.548674
124	2206.378469
125	2203.990764
126	2201.836381
127	2199.605951
128	2197.121131
129	2194.224934
130	2192.20472
131	2190.018541
132	2187.221758
133	2185.180772
134	2183.183389
135	2180.949434
136	2179.015749
137	2176.775572
138	2175.09198
139	2172.66612
140	2170.962597
141	2169.421287
142	2167.544134
143	2165.791097
144	2163.56405
145	2161.253887
146	2159.552407
147	2157.601081
148	2155.638445
149	2153.919208
150	2151.874854
151	2150.327516
152	2148.591361
153	2145.606537
154	2143.173739
155	2141.545498
156	2139.97659
157	2138.313989
158	2136.918442
159	2135.276057
160	2133.853201
161	2132.428348
162	2130.942076
163	2129.27429
164	2127.805333
165	2126.094662
166	2124.89385
167	2123.44199
168	2121.818094
169	2120.683933
170	2119.435316
171	2117.954395
172	2116.613254
173	2114.97936
174	2112.550753
175	2111.456007
176	2110.023968
177	2108.434316
178	2107.108054
179	2105.968772
180	2104.838496
181	2103.486991
182	2102.503302
183	2101.537482
184	2100.532748
185	2099.242923
186	2098.105376
187	2095.931284
188	2094.559897
189	2093.512844
190	2092.577812
191	2091.421643
192	2090.082504
193	2089.238543
194	2087.945308
195	2086.965954
196	2085.796028
197	2083.640389
198	2081.821142
199	2080.656359
200	2079.920488
201	2079.11445
202	2078.238241
203	2077.41149
204	2076.021066
205	2075.209045
206	2074.306974
207	2073.455345
208	2072.487688
209	2070.658654
210	2069.750569
211	2068.927747
212	2068.260221
213	2067.600503
214	2066.816475
215	2065.792407
216	2064.857582
217	2063.97063
218	2063.178856
219	2062.56408
220	2061.529501
221	2060.610274
222	2059.837815
223	2059.155073
224	2058.310728
225	2057.678534
226	2056.467512
227	2055.295513
228	2054.396306
229	2053.651438
230	2052.651812
231	2051.689001
232	2050.528157
233	2049.867437
234	2049.314985
235	2048.728624
236	2047.671476
237	2047.027599
238	2046.084708
239	2045.392039
240	2044.648866
241	2044.035726
242	2043.448879
243	2042.856549
244	2042.229436
245	2041.642894
246	2040.841541
247	2039.542349
248	2039.094002
249	2037.956724
250	2037.370754
251	2036.727778
252	2036.016038
253	2035.3242
254	2034.689069
255	2033.932853
256	2033.055139
257	2032.128321
258	2031.533736
259	2030.855354
260	2029.988073
261	2029.249149
262	2028.60185
263	2027.606358
264	2027.024597
265	2026.317593
266	2025.700598
267	2025.226544
268	2024.671675
269	2024.045678
270	2022.958621
271	2022.368459
272	2021.895804
273	2021.077664
274	2020.079258
275	2019.577819
276	2019.041928
277	2018.572709
278	2018.053169
279	2017.411039
280	2016.898968
281	2016.386864
282	2015.947425
283	2015.413797
284	2015.003524
285	2014.469246
286	2013.953952
287	2013.473877
288	2012.981866
289	2012.633095
290	2011.71841
291	2011.279243
292	2010.929873
293	2010.398828
294	2009.8394
295	2009.19422
296	2008.714412
297	2008.028497
298	2007.085983
299	2006.569962
300	2005.799311
301	2005.447388
302	2005.099892
303	2004.627471
304	2004.042571
305	2003.421279
306	2002.984329
307	2002.526235
308	2002.049224
309	2001.715416
310	2000.91105
311	2000.328747
312	1999.992151
313	1999.652186
314	1998.890898
315	1998.404031
316	1998.10846
317	1997.7401
318	1997.415385
319	1996.916121
320	1996.312224
321	1995.845145
322	1995.204389
323	1994.571951
324	1994.145487
325	1993.728666
326	1993.288457
327	1992.873128
328	1992.215837
329	1991.628195
330	1990.955961
331	1990.476717
332	1990.014192
333	1989.576976
334	1989.081412
335	1988.551932
336	1988.202327
337	1987.882743
338	1986.989581
339	1986.605744
340	1986.314409
341	1986.014413
342	1985.508246
343	1985.045808
344	1984.602345
345	1984.223885
346	1983.898531
347	1983.633481
348	1983.027109
349	1982.618315
350	1982.237018
351	1981.584462
352	1981.261424
353	1980.998016
354	1980.447999
355	1979.793796
356	1979.415212
357	1978.924472
358	1978.633688
359	1978.227611
360	1977.830413
361	1977.28643
362	1976.849582
363	1976.469088
364	1976.117317
365	1975.717675
366	1975.487308
367	1975.077571
368	1974.83145
369	1974.540036
370	1974.1277
371	1973.723055
372	1973.346559
373	1973.073826
374	1972.707984
375	1972.294873
376	1971.963876
377	1971.678504
378	1971.369677
379	1970.646511
380	1970.109336
381	1969.786498
382	1969.406994
383	1969.188056
384	1968.722318
385	1968.103567
386	1967.764931
387	1967.420148
388	1967.158196
389	1966.811756
390	1966.400596
391	1966.106249
392	1965.752522
393	1965.352746
394	1964.854336
395	1964.335265
396	1963.995407
397	1963.769202
398	1963.233327
399	1962.845976
400	1962.517449
401	1962.128194
402	1961.740704
403	1961.472815
404	1961.209854
405	1960.938804
406	1960.634238
407	1960.395246
408	1960.101374
409	1959.54956
410	1959.186586
411	1958.444209
412	1957.987447
413	1957.650151
414	1957.217916
415	1956.934747
416	1956.612666
417	1956.277998
418	1955.975129
419	1955.610208
420	1955.202139
421	1954.792192
422	1954.338986
423	1953.970367
424	1953.669285
425	1953.444272
426	1953.147056
427	1952.922837
428	1952.393807
429	1952.008092
430	1951.760471
431	1951.572769
432	1951.211158
433	1950.90377
434	1950.70234
435	1950.418554
436	1950.18005
437	1949.677951
438	1949.389863
439	1949.062569
440	1948.805034
441	1948.582728
442	1948.196197
443	1947.876543
444	1947.547318
445	1946.939378
446	1946.34333
447	1945.956649
