iter	Passed	Remaining
0	148	148469
1	166	83125
2	184	61330
3	204	50901
4	231	46158
5	261	43284
6	284	40412
7	310	38524
8	339	37408
9	365	36144
10	386	34728
11	407	33569
12	432	32805
13	454	32030
14	482	31673
15	510	31412
16	537	31063
17	560	30593
18	582	30091
19	604	29598
20	627	29262
21	650	28902
22	674	28630
23	697	28383
24	723	28227
25	748	28044
26	773	27867
27	799	27741
28	825	27626
29	850	27490
30	874	27333
31	908	27467
32	934	27378
33	956	27164
34	979	27001
35	1001	26817
36	1029	26795
37	1053	26680
38	1077	26554
39	1101	26430
40	1124	26301
41	1146	26158
42	1167	25990
43	1189	25836
44	1211	25715
45	1234	25594
46	1255	25458
47	1279	25369
48	1301	25257
49	1330	25285
50	1354	25197
51	1380	25158
52	1409	25176
53	1458	25557
54	1531	26318
55	1554	26212
56	1577	26097
57	1605	26078
58	1630	26011
59	1653	25903
60	1676	25806
61	1699	25714
62	1721	25607
63	1745	25525
64	1770	25468
65	1792	25359
66	1814	25262
67	1837	25182
68	1861	25114
69	1884	25040
70	1906	24946
71	1928	24860
72	1951	24783
73	1980	24787
74	2006	24742
75	2028	24667
76	2053	24615
77	2080	24592
78	2105	24541
79	2129	24483
80	2154	24446
81	2176	24364
82	2208	24400
83	2239	24420
84	2266	24399
85	2291	24350
86	2318	24326
87	2340	24254
88	2365	24214
89	2389	24156
90	2410	24078
91	2430	23991
92	2459	23984
93	2483	23936
94	2504	23853
95	2524	23774
96	2549	23733
97	2575	23703
98	2597	23638
99	2617	23557
100	2655	23638
101	2682	23620
102	2705	23558
103	2726	23487
104	2745	23403
105	2764	23319
106	2783	23226
107	2802	23145
108	2822	23073
109	2841	22992
110	2862	22922
111	2882	22850
112	2900	22769
113	2919	22693
114	2938	22616
115	2959	22551
116	2979	22483
117	2997	22408
118	3018	22346
119	3036	22268
120	3056	22202
121	3075	22133
122	3094	22066
123	3113	21998
124	3133	21933
125	3153	21871
126	3172	21804
127	3217	21920
128	3238	21867
129	3256	21792
130	3273	21718
131	3290	21638
132	3308	21566
133	3326	21497
134	3343	21424
135	3361	21358
136	3380	21293
137	3398	21230
138	3416	21160
139	3434	21099
140	3453	21038
141	3471	20976
142	3489	20914
143	3514	20892
144	3536	20855
145	3554	20793
146	3573	20735
147	3590	20667
148	3608	20611
149	3629	20569
150	3654	20547
151	3672	20489
152	3690	20431
153	3713	20397
154	3737	20377
155	3759	20339
156	3784	20319
157	3810	20307
158	3832	20273
159	3854	20235
160	3872	20182
161	3891	20128
162	3910	20079
163	3929	20028
164	3950	19990
165	3975	19974
166	3994	19925
167	4014	19879
168	4034	19838
169	4058	19812
170	4078	19772
171	4099	19735
172	4121	19700
173	4142	19665
174	4166	19639
175	4188	19609
176	4210	19578
177	4234	19552
178	4259	19536
179	4285	19524
180	4309	19500
181	4332	19470
182	4350	19420
183	4374	19398
184	4398	19375
185	4418	19335
186	4438	19296
187	4458	19258
188	4479	19222
189	4498	19179
190	4525	19166
191	4548	19141
192	4575	19132
193	4597	19102
194	4618	19064
195	4638	19027
196	4658	18987
197	4678	18951
198	4698	18911
199	4717	18868
200	4736	18828
201	4755	18788
202	4780	18768
203	4801	18736
204	4822	18701
205	4841	18661
206	4866	18641
207	4888	18612
208	4909	18579
209	4929	18544
210	4950	18509
211	4971	18478
212	4996	18459
213	5017	18429
214	5092	18595
215	5127	18610
216	5151	18586
217	5170	18546
218	5190	18508
219	5215	18491
220	5240	18471
221	5259	18432
222	5281	18401
223	5300	18362
224	5331	18363
225	5352	18332
226	5375	18304
227	5395	18268
228	5423	18259
229	5444	18228
230	5466	18196
231	5486	18161
232	5506	18126
233	5528	18096
234	5548	18063
235	5568	18026
236	5589	17995
237	5608	17955
238	5628	17920
239	5647	17883
240	5666	17846
241	5689	17819
242	5715	17805
243	5736	17772
244	5754	17733
245	5773	17694
246	5792	17658
247	5812	17625
248	5831	17587
249	5870	17612
250	5900	17608
251	5922	17578
252	5973	17638
253	5994	17606
254	6016	17577
255	6037	17546
256	6059	17518
257	6080	17487
258	6103	17461
259	6127	17440
260	6148	17409
261	6170	17379
262	6192	17353
263	6214	17324
264	6235	17294
265	6256	17265
266	6278	17236
267	6299	17205
268	6319	17174
269	6340	17142
270	6360	17110
271	6379	17075
272	6398	17038
273	6417	17004
274	6437	16971
275	6459	16944
276	6480	16913
277	6500	16882
278	6520	16851
279	6540	16819
280	6560	16787
281	6579	16753
282	6601	16724
283	6619	16687
284	6639	16655
285	6661	16630
286	6683	16605
287	6705	16576
288	6727	16551
289	6748	16522
290	6771	16497
291	6790	16463
292	6808	16429
293	6828	16397
294	6848	16365
295	6871	16343
296	6889	16308
297	6909	16277
298	6929	16247
299	6949	16214
300	6968	16182
301	6986	16147
302	7005	16114
303	7022	16078
304	7041	16046
305	7060	16013
306	7079	15981
307	7126	16011
308	7145	15979
309	7163	15944
310	7184	15916
311	7203	15884
312	7220	15847
313	7236	15809
314	7253	15772
315	7271	15740
316	7288	15703
317	7305	15668
318	7322	15631
319	7339	15595
320	7357	15562
321	7375	15530
322	7394	15499
323	7414	15469
324	7432	15436
325	7450	15404
326	7470	15374
327	7489	15344
328	7509	15314
329	7528	15285
330	7548	15255
331	7566	15224
332	7586	15195
333	7606	15167
334	7625	15137
335	7646	15111
336	7665	15080
337	7685	15052
338	7706	15025
339	7725	14997
340	7743	14964
341	7761	14933
342	7781	14905
343	7802	14878
344	7820	14848
345	7840	14820
346	7859	14789
347	7877	14758
348	7896	14728
349	7914	14698
350	7933	14669
351	7953	14641
352	7972	14612
353	7991	14584
354	8012	14558
355	8032	14531
356	8053	14505
357	8074	14479
358	8094	14452
359	8114	14425
360	8134	14399
361	8154	14372
362	8174	14344
363	8193	14316
364	8212	14287
365	8230	14257
366	8249	14228
367	8270	14203
368	8290	14176
369	8308	14147
370	8329	14121
371	8349	14096
372	8369	14069
373	8389	14042
374	8409	14016
375	8430	13990
376	8452	13968
377	8474	13944
378	8492	13915
379	8511	13887
380	8530	13859
381	8549	13832
382	8569	13804
383	8586	13773
384	8605	13745
385	8624	13719
386	8644	13692
387	8662	13662
388	8680	13634
389	8699	13607
390	8719	13581
391	8739	13555
392	8759	13529
393	8781	13505
394	8800	13478
395	8819	13452
396	8839	13425
397	8858	13398
398	8878	13373
399	8899	13348
400	8919	13323
401	8938	13296
402	8958	13270
403	8976	13241
404	8995	13215
405	9015	13190
406	9033	13162
407	9051	13133
408	9069	13104
409	9087	13076
410	9105	13049
411	9125	13023
412	9144	12997
413	9163	12970
414	9182	12943
415	9199	12914
416	9217	12887
417	9236	12860
418	9255	12833
419	9274	12807
420	9293	12780
421	9311	12754
422	9330	12727
423	9351	12703
424	9371	12679
425	9390	12653
426	9409	12626
427	9428	12600
428	9447	12575
429	9466	12548
430	9485	12522
431	9502	12493
432	9521	12467
433	9539	12440
434	9558	12414
435	9576	12388
436	9594	12360
437	9615	12338
438	9636	12314
439	9658	12293
440	9681	12271
441	9701	12247
442	9722	12224
443	9742	12200
444	9796	12218
445	9817	12195
446	9835	12167
447	9852	12139
448	9868	12110
449	9883	12080
450	9901	12052
451	9919	12026
452	9935	11997
453	9954	11972
454	9974	11947
455	9993	11922
456	10013	11898
457	10034	11874
458	10054	11850
459	10074	11827
460	10099	11808
461	10126	11792
462	10182	11809
463	10208	11792
464	10227	11767
465	10247	11742
466	10268	11719
467	10291	11698
468	10313	11676
469	10335	11654
470	10353	11628
471	10373	11604
472	10394	11580
473	10412	11554
474	10434	11532
475	10454	11508
476	10474	11484
477	10492	11458
478	10510	11432
479	10530	11407
480	10548	11382
481	10568	11357
482	10587	11332
483	10607	11308
484	10624	11282
485	10643	11257
486	10665	11234
487	10684	11209
488	10703	11184
489	10721	11159
490	10740	11134
491	10759	11109
492	10778	11084
493	10798	11060
494	10816	11034
495	10835	11010
496	10854	10985
497	10874	10961
498	10892	10936
499	10912	10912
500	10931	10887
501	10948	10861
502	10967	10836
503	10985	10811
504	11003	10786
505	11022	10761
506	11043	10738
507	11063	10715
508	11083	10691
509	11102	10667
510	11121	10642
511	11140	10617
512	11158	10593
513	11179	10570
514	11200	10547
515	11218	10523
516	11237	10498
517	11256	10474
518	11274	10449
519	11292	10423
520	11311	10399
521	11330	10374
522	11348	10350
523	11365	10324
524	11383	10299
525	11400	10273
526	11417	10247
527	11435	10222
528	11456	10200
529	11476	10177
530	11494	10152
531	11513	10128
532	11532	10104
533	11552	10081
534	11574	10059
535	11593	10036
536	11612	10012
537	11631	9988
538	11650	9964
539	11669	9940
540	11689	9917
541	11708	9894
542	11728	9870
543	11745	9845
544	11763	9820
545	11781	9796
546	11800	9772
547	11817	9747
548	11837	9724
549	11856	9700
550	11874	9676
551	11893	9652
552	11912	9628
553	11932	9606
554	11954	9585
555	11978	9565
556	11999	9543
557	12020	9521
558	12041	9499
559	12060	9476
560	12082	9454
561	12104	9433
562	12125	9411
563	12145	9388
564	12166	9367
565	12185	9343
566	12202	9318
567	12221	9295
568	12242	9273
569	12262	9250
570	12281	9227
571	12302	9205
572	12321	9181
573	12338	9157
574	12357	9133
575	12376	9110
576	12395	9087
577	12415	9064
578	12436	9043
579	12456	9020
580	12478	8999
581	12500	8977
582	12520	8955
583	12540	8933
584	12564	8913
585	12589	8894
586	12610	8872
587	12634	8853
588	12658	8832
589	12682	8813
590	12705	8792
591	12727	8771
592	12755	8754
593	12775	8732
594	12797	8711
595	12817	8688
596	12836	8665
597	12857	8643
598	12876	8620
599	12894	8596
600	12914	8573
601	12933	8550
602	12953	8528
603	12971	8504
